"pu_hour","pu_month","pu_wday","avg_tip_amount"
6,"Feb","Thu",2.0044919727693
6,"Feb","Fri",2.00209259121647
6,"Feb","Sat",2.16705201785552
6,"Mar","Sun",2.70023850931677
6,"Mar","Mon",2.0967372829667
6,"Mar","Tue",1.92831347567929
6,"Mar","Wed",2.01427485652241
6,"Mar","Thu",2.02148699026172
6,"Mar","Fri",2.10733247998095
6,"Mar","Sat",2.32526863468635
6,"Apr","Sun",2.39505996831862
6,"Apr","Mon",2.10668250071731
6,"Apr","Tue",1.97357486384049
6,"Apr","Wed",2.01897679031938
6,"Apr","Thu",2.14454114838064
6,"Apr","Fri",2.19498603411972
6,"Apr","Sat",2.16663078992889
6,"May","Sun",2.45953114459186
6,"May","Mon",2.1615395759888
6,"May","Tue",2.03680389692018
6,"May","Wed",2.06716242048197
6,"May","Thu",2.09060097729575
6,"May","Fri",2.25347673222992
6,"May","Sat",2.42110379515318
6,"Jun","Sun",2.49948593779102
6,"Jun","Mon",2.15073128264655
6,"Jun","Tue",1.9656332111213
6,"Jun","Wed",2.1009338537387
6,"Jun","Thu",2.12261495844875
6,"Jun","Fri",2.27667439996625
6,"Jun","Sat",2.23551776038531
6,"Jul","Sun",2.51211089367254
6,"Jul","Mon",2.14162803411327
6,"Jul","Tue",1.93195632582322
6,"Jul","Wed",2.00830660818293
6,"Jul","Thu",2.14265094003159
6,"Jul","Fri",2.14456672489545
6,"Jul","Sat",2.17586385224274
6,"Aug","Sun",2.37170501551189
6,"Aug","Mon",2.15986367767343
6,"Aug","Tue",1.96795290209107
6,"Aug","Wed",2.00089460253262
6,"Aug","Thu",2.07691252274105
6,"Aug","Fri",2.15842978314461
6,"Aug","Sat",2.20910426460712
6,"Sep","Sun",2.51998371179458
6,"Sep","Mon",2.21320508000167
6,"Sep","Tue",2.0276957124335
6,"Sep","Wed",2.0336885674451
6,"Sep","Thu",2.0825430153322
6,"Sep","Fri",2.17173918925012
6,"Sep","Sat",2.18751415920091
6,"Oct","Sun",2.61195639223162
6,"Oct","Mon",2.27172715153311
6,"Oct","Tue",2.02106158467893
6,"Oct","Wed",2.04592337809653
6,"Oct","Thu",2.11311024669193
6,"Oct","Fri",2.25351375491247
6,"Oct","Sat",2.45185004393244
6,"Nov","Sun",2.54920561797753
6,"Nov","Mon",2.19947606395376
6,"Nov","Tue",2.05622451716738
6,"Nov","Wed",2.05653837656312
6,"Nov","Thu",2.12738622754491
6,"Nov","Fri",2.15221915696377
6,"Nov","Sat",2.3071072319202
6,"Dec","Sun",2.75365294477277
6,"Dec","Mon",2.19258642452869
6,"Dec","Tue",2.07164786324786
6,"Dec","Wed",2.13271478760779
6,"Dec","Thu",2.17241951543312
6,"Dec","Fri",2.28713488418037
6,"Dec","Sat",2.50214422535211
7,"Jan","Sun",1.79200240891298
7,"Jan","Mon",1.76631288504079
7,"Jan","Tue",1.74042576222262
7,"Jan","Wed",1.73253510848766
7,"Jan","Thu",1.73076756558989
7,"Jan","Fri",1.69703947368421
7,"Jan","Sat",1.73600565737521
7,"Feb","Sun",2.08263117283951
7,"Feb","Mon",2.13380355380059
7,"Feb","Tue",2.08121538695058
7,"Feb","Wed",2.08554802918534
7,"Feb","Thu",2.04505461056401
7,"Feb","Fri",1.97829212705777
7,"Feb","Sat",1.92805583847583
7,"Mar","Sun",2.16565970149254
7,"Mar","Mon",2.09235268979387
7,"Mar","Tue",2.0646447816528
7,"Mar","Wed",2.07699836285786
7,"Mar","Thu",2.08296911677655
7,"Mar","Fri",2.06790761514217
7,"Mar","Sat",2.07147696282475
7,"Apr","Sun",2.09978945035461
7,"Apr","Mon",2.12575892857143
7,"Apr","Tue",2.10805788569192
7,"Apr","Wed",2.09781537807083
7,"Apr","Thu",2.08163150131469
7,"Apr","Fri",2.09349771301457
7,"Apr","Sat",1.97396585452605
7,"May","Sun",2.10982934897008
7,"May","Mon",2.21777418635756
7,"May","Tue",2.10597865385032
7,"May","Wed",2.15654492647182
7,"May","Thu",2.13484689042126
7,"May","Fri",2.16718634686347
7,"May","Sat",2.08511035754655
7,"Jun","Sun",2.19682432432432
7,"Jun","Mon",2.16009740837763
7,"Jun","Tue",2.0937833157149
7,"Jun","Wed",2.15110504807124
7,"Jun","Thu",2.1247359743531
7,"Jun","Fri",2.14552132944129
7,"Jun","Sat",2.08480784876765
7,"Jul","Sun",2.22756508140925
7,"Jul","Mon",2.14225712079013
7,"Jul","Tue",2.07131080344489
7,"Jul","Wed",2.07510848601736
7,"Jul","Thu",2.18003190199707
7,"Jul","Fri",2.14806066209153
7,"Jul","Sat",2.03318256992881
7,"Aug","Sun",2.13687702556716
7,"Aug","Mon",2.13048890634204
7,"Aug","Tue",2.07908580352584
