"pu_month","pu_hour","airport","num_trips_airport","avg_trip_dist","avg_tip_amount","avg_fare_amount"
6,13,"Y",34602,12.98652274435,6.65677735391018,41.4064661002254
7,13,"N",311920,1.98269777507053,1.66594511413183,10.9951724480636
7,13,"Y",30847,12.9928758063993,6.19840632800596,40.7002739326353
8,13,"N",297250,1.99420013456686,1.6473683431455,10.9280324978974
8,13,"Y",31664,12.6868661571501,6.08978745578575,40.4386492546741
9,13,"N",308877,1.97731125982187,1.7821320137142,11.3817828779741
9,13,"Y",33623,12.967364601612,6.43847634060018,41.0335493560955
10,13,"N",340313,1.9541818267301,1.79176190742052,11.3320875488154
10,13,"Y",35687,12.8991391823353,6.40281839325244,40.7196732703786
11,13,"N",337993,1.9233714899421,1.7781804356895,11.1590574361007
11,13,"Y",33108,12.936917059321,6.40609610970158,40.798601546454
12,13,"N",349947,1.89946789085204,1.74155192071942,11.1120655127776
12,13,"Y",33927,12.8208002475904,6.31367494915554,40.9435016358652
1,14,"N",398009,1.91270305445354,1.36301498207327,10.1196058129339
1,14,"Y",33107,13.2008085903283,6.52795330292687,41.1827386957441
2,14,"N",352378,1.96017657174966,1.6786593941733,10.5145436150952
2,14,"Y",32945,13.2964808013356,6.86118955835483,41.60741660343
3,14,"N",386713,1.99185147641791,1.7183811767383,10.7722704693145
3,14,"Y",40421,13.1162482373024,6.68256079760521,41.2128801860419
4,14,"N",370600,1.9732886130599,1.73939986508365,10.9761060442526
4,14,"Y",37960,13.1880371443625,6.51039199157007,41.6983356164384
5,14,"N",378523,1.9268338779942,1.7834799206389,11.1351646795571
5,14,"Y",43865,13.0184326912117,6.64458338082754,42.1788136327368
6,14,"N",343927,1.94564645985921,1.76910335623548,11.2165996563224
6,14,"Y",40511,13.0720488262447,6.70829675890499,42.4331895040853
7,14,"N",321963,1.98046368682116,1.67347881588878,11.0414995822501
7,14,"Y",36065,13.0584314432275,6.24683959517538,41.5693908221267
8,14,"N",300684,2.01177072940363,1.65609995876069,10.9659390589456
8,14,"Y",36246,13.1028047232798,6.14083843734481,41.8363684268609
9,14,"N",326252,1.97046185157486,1.7782632137121,11.3710481774824
9,14,"Y",38984,13.1839557254258,6.56597988918531,42.4007751898215
10,14,"N",355477,1.95949217530248,1.80262616146755,11.4168143086613
10,14,"Y",41269,13.1226155225472,6.6010300709976,42.3344033051443
11,14,"N",349989,1.92893285217535,1.79445802582367,11.2045091988605
11,14,"Y",39192,13.0009805572566,6.61571264543784,41.958646152276
12,14,"N",362302,1.91552265789314,1.76344005829391,11.1985012779394
12,14,"Y",38806,13.0574416327372,6.59802968613101,42.3165943410813
1,15,"N",416150,1.9068133605671,1.36822998918659,10.143652312868
1,15,"Y",34267,12.666407330668,6.47988560422564,40.4875404908513
2,15,"N",360749,1.970826086836,1.68285295316134,10.5695816759021
2,15,"Y",33292,12.7796623813529,6.90578397212544,41.198381893548
3,15,"N",387589,2.00652967447477,1.73116401652266,10.9102686350748
3,15,"Y",41316,12.7753516797367,6.70936441088198,41.4723777713235
4,15,"N",373686,1.96783700754109,1.7423935871293,10.9743664199355
4,15,"Y",39986,12.8461283949382,6.52087055469414,42.1294903216126
5,15,"N",373337,1.96015390920268,1.77374594535232,11.3183694356573
5,15,"Y",42681,12.6855488390619,6.6696396523043,42.3781905297439
6,15,"N",338103,1.97382445586108,1.76025492231657,11.2827026379535
